Sample Name	sample_type
SAM130	HA-Oil
SAM131	HA-Oil
SAM129	HA-NonOil
SAM014	RHA-Oil
SAM015	RHA-Oil
SAM016	RHA-Oil
SAM017	HA-Oil
SAM018	HA-Oil
SAM269	HA
SAM268	HA
SAM263	HA
SAM265	OPV
SAM264	HA
SAM266	RHA
SAM081	RHA-Oil
SAM080	HA-NonOil
SAM077	HA-Oil
SAM163	RHA-Oil
SAM162	RHA-Oil
SAM160	HA-Oil
SAM159	HA-Oil
SAM161	RHA-Oil
SAM090	HA-NonOil
SAM089	Other-NonOil
SAM088	NonOil introgressed
SAM040	HA-Oil
SAM038	HA-Oil
SAM175	HA-Oil
SAM227	HA-Oil
SAM060	RHA-Oil
SAM167	RHA-NonOil
ann01-cwIA	wild
ann04-nwAR	wild
ann05-ccNM	wild
ann06-seWY	wild
ann08-ceTN	wild
ann10-ccIL	wild
ann20-seAZ	wild
ann22-nwTX	wild
ann28-swSK	wild
ann29-neSD	wild
ann30-neTX	wild
ann31-scTX	wild
ann34-cwKS	wild
ann39-ncNE	wild
ann41-ccTX	wild
ann44-ccCA	wild
ann53-nwTX	wild
ann59-swTX	wild
ann62-neTX	wild
ann63-swTX	wild
ann64-seTX	wild
ann67-swTX	wild
annIA	wild
annKS	wild
annNM	wild
annWY	wild
Anzac_Pueblo	Landrace
Arikara	Landrace
Havasupai	Landrace
Hidatsa#1	Landrace
Hopi	Landrace
Laguna_Pueblo	Landrace
Mandan#2	Landrace
MexCult1	Landrace
MexCult14	Landrace
MexCult15	Landrace
MexCult3	Landrace
MexCult6	Landrace
MexCult7	Landrace
MexCult9	Landrace
Pueblo	Landrace
Seneca	Landrace
Zuni	Landrace
annMAN	Landrace
